node,java,backend,benchmark,score_ns_op,score_error_ns_op,confidence_low_ns_op,confidence_high_ns_op,jdk_version,vm_name,vm_version,warmup_iterations,measurement_iterations,measurement_time,threads,forks,raw_samples,overhead_ns_op,overhead_error_ns_op,score_multiplier,overhead_multiplier
1.21.11-paper,21,instrumentation,siteInvoke,198.73383069058542,29.40319316632465,169.33063752426077,228.13702385691008,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[194.21621711574028,206.43223353255658,213.33724921685882,180.8021816259877,210.87342151279492,202.45567439639368,183.01983743376596]]",198.35743979811068,29.403194500243725,527.9985107607612,526.9985107607612
1.21.11-paper,21,instrumentation,spliceProceed,142.7281039844467,10.591658384086761,132.13644560035993,153.31976236853347,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[137.88874590779298,145.49104167483435,139.8066218907679,143.25927342212432,146.61791129723102,149.2426566300459,136.79047706833043]]",142.35171309197196,10.59166208713994,379.20180014456366,378.20180014456366
1.21.11-paper,21,jvmti,baseline,0.37425003269896656,0.007175621732463939,0.3670744109665026,0.3814256544314305,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[0.38099351476736526,0.3721120488753892,0.37372938036226777,0.3728536185855416,0.3752075114422903,0.37169404039056164,0.3731601144693501]]",0.0,0.010147861572509628,1.0,0.0
1.21.11-paper,21,jvmti,lead,72.04206105179075,1.6126934666600128,70.42936758513073,73.65475451845077,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[71.46908348023547,71.5923297710657,72.04941869247455,71.8101489204333,71.38271482422843,73.34149728562238,72.64923438847549]]",71.66781101909179,1.612709430416756,192.4971403001555,191.4971403001555
1.21.11-paper,21,jvmti,leadTrail,173.36167868490128,2.940590897146458,170.42108778775483,176.30226958204773,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[172.4071899930039,175.28484997335792,173.60311605106054,174.27174585811818,172.20302057312998,171.67110518165902,174.09072316397948]]",172.9874286522023,2.9405996520995266,463.2242178702687,462.2242178702687
1.21.11-paper,21,jvmti,predicateTrue,73.57366842116963,2.897419847886384,70.67624857328325,76.47108826905601,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[74.28517815395413,72.71972536091268,73.11289160238955,74.10740925796124,71.50992356745304,75.5521590930491,73.72839191246764]]",73.19941838847066,2.897428733286326,196.5896112034536,195.5896112034536
1.21.11-paper,21,jvmti,siteInvoke,143.75848702962048,4.938722678208888,138.8197643514116,148.69720970782936,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[141.85198434582173,143.89048709480684,141.7322747903233,141.55713943567775,144.87288503504922,144.96524807280562,147.4393904328589]]",143.38423699692152,4.938727891046643,384.12418027830796,383.12418027830796
1.21.11-paper,21,jvmti,spliceProceed,103.1352374087394,1.4162800777791216,101.71895733096028,104.55151748651852,21.0.10,OpenJDK 64-Bit Server VM,21.0.10+7-LTS,3,7,500 ms,1,0,"[[103.54251504291221,103.51806874522063,101.8620754073328,103.57471607859114,103.50533697271476,103.13903153349136,102.80491808091294]]",102.76098737604043,1.4162982554043064,275.5784325921428,274.5784325921428
26.1.2-spigot,25,instrumentation,baseline,0.4753817802324151,0.08698783661129683,0.3883939436211183,0.562369616843712,25.0.2,OpenJDK 64-Bit Server VM,25.0.2+10-LTS,3,7,500 ms,1,0,"[[0.5136954469445769,0.44884444371479854,0.5356328027786627,0.4289732390533029,0.48234862341239604,0.4734925276199515,0.4446853781032174]]",0.0,0.12301937829719083,1.0,0.0
26.1.2-spigot,25,instrumentation,lead,83.18959714223546,13.202526202067666,69.9870709401678,96.39212334430312,25.0.2,OpenJDK 64-Bit Server VM,25.0.2+10-LTS,3,7,500 ms,1,0,"[[84.68547534231797,74.2502199785595,91.05719585488721,85.81051300330395,79.36152491053876,88.06996471683595,79.09228618920487]]",82.71421536200305,13.202812768497537,174.99534185252932,173.99534185252935
